# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Jul 12 20:03:52 UTC 2021
#
At utterance begin, SIL accounts for 99.4% of phone occurrences, with duration (median, mean, 95-percentile) is (97,100.3,170) frames.
Overall, d_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,14) frames.
Overall, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,16) frames.
Overall, uː_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,17) frames.
Overall, m_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, h_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.6,30) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,9) frames.
Overall, ɡ_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,15) frames.
Overall, uː_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,23) frames.
Overall, d_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, m_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,15) frames.
Overall, ʉ_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, v_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,15) frames.
Overall, b_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,15) frames.
Overall, m_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,24) frames.
Overall, tː_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.4,24) frames.
Overall, eː_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.4,34) frames.
Overall, ŋ_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
Overall, ʉː_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,20) frames.
Overall, ɡ_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,12) frames.
Overall, s_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.3,32) frames.
Overall, l_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.5,23) frames.
Overall, k_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,15) frames.
Overall, p_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, f_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, oː_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,30) frames.
Overall, ɛ_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,20) frames.
Overall, iː_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.2,27) frames.
Overall, ʃ_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,15) frames.
Overall, p_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,30) frames.
Overall, ɔ_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,24) frames.
Overall, n_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, iː_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.4,34) frames.
The optional-silence phone SIL occupies 36.2% of frames overall 
Limiting the stats to the 66.1% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 3.7% of frames.
Assuming 100 frames per second, the alignments represent 67.9 hours of data, or 43.3 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 2.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (10,15.2,43)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul 12 20:03:52 UTC 2021, elapsed time 0 seconds
