!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
ANNONSEMARKEDET	ɑ n n ɔ n s eː m ɑ r k eː d a 
ANNONSEN	ɑ n n ɔ n s ə n 
ANNONSENE	ɑ n n ɔ n s ɛ n a 
ANNONSER	ɑ n n ɔ n s ə r 
ANNONSERE	ɑ n n ɔ n s eː r a 
ANNONSERTE	ɑ n n ɔ n s a r t a 
ANNONSØRENE	ɑ n n ɔ n s øː r ɛ n a 
ANNONSØRER	ɑ n n ɔ n s øː r ə r 
ANONYME	a n uː n yː m a 
ANSATT	ɑ n s ɑ tː 
ANSATTE	ɑ n s ɑ tː a 
ANSATTES	ɑ n s ɑ tː ə s 
ANSE	ɑ n s a 
ANSEES	ɑ n s eː ə s 
ANSER	ɑ n s ə r 
ANSES	ɑ n s ə s 
ANSETT	ɑ n s ɛ tː 
ANSETTE	ɑ n s ɛ tː a 
ANSETTELSE	ɑ n s ə tː ɛ l s a 
ANSETTELSEN	ɑ n s ə tː ɛ l s ə n 
ANSIENNITET	ɑ n s iː ɛ n n iː t ə t 
ANSIKT	ɑ n s ɪ k t 
ANSIKTER	ɑ n s ɪ k t ə r 
ANSIKTET	ɑ n s ɪ k t ə t 
ANSIKTSTREKK	ɑ n s ɪ k t s t r ɛ kː 
ANSKAFFET	ɑ n s k ɑ f f ə t 
ANSLAGSVIS	ɑ n ʃ l ɑ ɡ s v iː s 
ANSTRENGELSE	ɑ n s t r ə ŋ ɛ l s a 
ANSTRENGELSER	ɑ n s t r ə ŋ ɛ l s ə r 
ANSTRENGT	ɑ n s t r ɛ ŋ t 
ANSVAR	ɑ n s v a r 
ANSVARET	ɑ n s v a r ə t 
ANSVARLIG	ɑ n s v ɑ r l ɪ 
ANSVARLIGE	ɑ n s v ɑ r l iː ɡ a 
ANSVARSBEVISST	ɑ n s v ɑ r ʃ b eː v ɪ s s t 
ANSVARSDEL	ɑ n s v ɑ r ʃ d ə l 
ANSVARSFRASKRIVELSEN	ɑ n s v ɑ r ʃ f r ɑ s k r iː v ɛ l s ə n 
ANSVARSKAPITALEN	ɑ n s v ɑ r ʃ k a p iː t a l ə n 
ANTAGELIG	ɑ n t a ɡ eː l ɪ 
ANTALL	ɑ n t ɑ l 
ANTALLET	ɑ n t ɑ l l ə t 
ANTAR	ɑ n t a r 
ANTATT	ɑ n t ɑ tː 
ANTENNE	ɑ n t ɛ n n a 
ANTENNENE	ɑ n t ə n n ɛ n a 
ANTENNER	ɑ n t ɛ n n ə r 
ANTIKKEN	ɑ n t ɪ kː ə n 
ANTIKVARISKE	ɑ n t ɪ k v a r ɪ s k a 
ANTIRELIGIONSPROPAGANDA	ɑ n t iː r eː l iː j iː ɔ n s p r uː p a ɡ ɑ n n ɑ 
ANTISTOFFER	ɑ n t ɪ s t ɔ f f ə r 
ANTONSEN	ɑ n t ɔ n s ə n 
ANTYDE	ɑ n t yː d a 
ANTYDES	ɑ n t yː d ə s 
ANTYDNING	ɑ n t y d n ɪ ŋ 
ANVENDE	ɑ n v ɛ n n a 
ANVENDELIGHET	ɑ n v ə n n eː l ɪ ɡ h ə t 
ANVENDES	ɑ n v ɛ n n ə s 
ANVENDT	ɑ n v ɛ n n t 
ANVISNINGER	ɑ n v ɪ s n ɪ ŋ ə r 
ANVISNINGSMYNDIGHETEN	ɑ n v ɪ s n ɪ ŋ s m y n n ɪ ɡ h eː t ə n 
ANVISNINGSSKILT	ɑ n v ɪ s n ɪ ŋ s s x ɪ l t 
APARTHEIDPUNKTUM	a p ɑ r t h aɪ d p ʉ ŋ k t ʉː m 
APESTREKER	a p ə s t r eː k ə r 
APPARATENE	ɑ pː a r a t ɛ n a 
APPELL	ɑ pː ɛ l 
APPELLERER	ɑ pː ə l l eː r ə r 
APPELSIN	ɑ pː ə l s iː n 
APPETITT	ɑ pː eː t ɪ tː 
APPETITTVEKKENDE	ɑ pː eː t ɪ tː v ə kː ɛ n n a 
APPRETURARBEIDERNE	ɑ pː r eː t ʉː r ɑ r b aɪ d a r n a 
APRIL	ɑ p r iː l 
ARABERVERDENEN	a r a b a r v a r d eː n ə n 
ARBEID	ɑ r b aɪ d 
ARBEIDE	ɑ r b aɪ d a 
ARBEIDER	ɑ r b aɪ d ə r 
ARBEIDERE	ɑ r b aɪ d eː r a 
ARBEIDERKLASSEN	ɑ r b aɪ d a r k l ɑ s s ə n 
ARBEIDERNE	ɑ r b aɪ d a r n a 
ARBEIDERPARTIET	ɑ r b aɪ d a r p ɑ r t iː ə t 
ARBEIDERPARTIREGJERINGEN	ɑ r b aɪ d a r p ɑ r t iː r ə j eː r ɪ ŋ ə n 
ARBEIDET	ɑ r b aɪ d a 
ARBEIDETPUNKTUM	ɑ r b aɪ d ɛ t p ʉ ŋ k t ʉː m 
ARBEIDSBEGREPET	ɑ r b aɪ d s b ɛ ɡ r eː p ə t 
ARBEIDSBOKEN	ɑ r b aɪ d s b uː k ə n 
ARBEIDSBORD	ɑ r b aɪ d s b uː r 
ARBEIDSDAG	ɑ r b aɪ d s d a ɡ 
ARBEIDSDAGEN	ɑ r b aɪ d s d a ɡ ə n 
ARBEIDSDELING	ɑ r b aɪ d s d eː l ɪ ŋ 
ARBEIDSFELT	ɑ r b aɪ d s f ɛ l t 
ARBEIDSFORHOLDET	ɑ r b aɪ d s f ɔ r h ɔ l l ə t 
ARBEIDSFORMER	ɑ r b aɪ d s f ɔ r m ə r 
ARBEIDSGIVER	ɑ r b aɪ d s j iː v ə r 
ARBEIDSGIVERE	ɑ r b aɪ d s j iː v eː r a 
ARBEIDSGIVEREN	ɑ r b aɪ d s j iː v eː r ə n 
ARBEIDSGIVERES	ɑ r b aɪ d s j iː v eː r ə s 
ARBEIDSGIVERNE	ɑ r b aɪ d s j iː v a r n a 
ARBEIDSGIVERSIDEN	ɑ r b aɪ d s j iː v a r ʃ iː d ə n 
ARBEIDSGRUPPA	ɑ r b aɪ d s ɡ r ʉ pː ɑ 
ARBEIDSHJELP	ɑ r b aɪ d s j ɛ l p 
ARBEIDSINNTEKT	ɑ r b aɪ d s ɪ n t ɛ k t 
ARBEIDSINNTEKTEN	ɑ r b aɪ d s ɪ n t ɛ k t ə n 
ARBEIDSKAPASITET	ɑ r b aɪ d s k a p a s iː t ə t 
ARBEIDSKONFLIKT	ɑ r b aɪ d s k ɔ n f l ɪ k t 
ARBEIDSKONTORET	ɑ r b aɪ d s k ɔ n t uː r ə t 
ARBEIDSKRAFT	ɑ r b aɪ d s k r ɑ f t 
ARBEIDSKRAFTEN	ɑ r b aɪ d s k r ɑ f t ə n 
ARBEIDSLEDER	ɑ r b aɪ d ʃ l eː d ə r 
ARBEIDSLEDIGHETEN	ɑ r b aɪ d ʃ l eː d ɪ ɡ h eː t ə n 
ARBEIDSLIVET	ɑ r b aɪ d ʃ l iː v ə t 
ARBEIDSMARKED	ɑ r b aɪ d s m ɑ r k ə d 
ARBEIDSMARKEDETS	ɑ r b aɪ d s m ɑ r k eː d ɛ t s 
ARBEIDSMENGDEN	ɑ r b aɪ d s m ɛ ŋ d ə n 
ARBEIDSMILJØ	ɑ r b aɪ d s m ɪ j øː 
ARBEIDSMÅTE	ɑ r b aɪ d s m oː t a 
ARBEIDSOPPDRAG	ɑ r b aɪ d s ɔ pː d r a ɡ 
ARBEIDSOPPGAVENE	ɑ r b aɪ d s ɔ pː ɡ a v ɛ n a 
ARBEIDSOPPGAVER	ɑ r b aɪ d s ɔ pː ɡ a v ə r 
ARBEIDSPLASS	ɑ r b aɪ d s p l ɑ s 
ARBEIDSPLASSENE	ɑ r b aɪ d s p l ɑ s s ɛ n a 
ARBEIDSPLASSER	ɑ r b aɪ d s p l ɑ s s ə r 
ARBEIDSPLIKT	ɑ r b aɪ d s p l ɪ k t 
ARBEIDSRYTME	ɑ r b aɪ d s r y t m a 
ARBEIDSSTEDET	ɑ r b aɪ d s s t eː d a 
ARBEIDSTAGERE	ɑ r b aɪ d s t a ɡ eː r a 
ARBEIDSTAGERGRUPPER	ɑ r b aɪ d s t a ɡ a r ɡ r ʉ pː ə r 
ARBEIDSTAGERNE	ɑ r b aɪ d s t a ɡ a r n a 
ARBEIDSTAKERE	ɑ r b aɪ d s t a k eː r a 
ARBEIDSTAKEREN	ɑ r b aɪ d s t a k eː r ə n 
ARBEIDSTAKERNES	ɑ r b aɪ d s t a k a r n ə s 
ARBEIDSTIDSBESTEMMELSER	ɑ r b aɪ d s t ɪ d s b ə s t ɛ m m ɛ l s ə r 
ARBEIDSTILLATELSE	ɑ r b aɪ d s t ɪ l l a t ɛ l s a 
ARBEIDSTILSYNETS	ɑ r b aɪ d s t ɪ l s yː n ɛ t s 
ARBEIDSTØY	ɑ r b aɪ d s t øy 
AREAL	a r eː a l 
AREALENE	a r eː a l ɛ n a 
AREALER	a r eː a l ə r 
AREMARK	a r eː m ɑ r k 
ARENAEN	a r eː n aː n 
ARGUMENTASJON	ɑ r ɡ ʉː m ɛ n t ɑ ʃ uː n 
ARGUMENTER	ɑ r ɡ ʉː m ɛ n t ə r 
ARGUMENTERES	ɑ r ɡ ʉː m ɛ n t eː r ə s 
ARILD	a r ɪ l l 
ARK	ɑ r k 
ARKEOLOGENES	ɑ r k eː uː l uː ɡ eː n ə s 
ARKITEKT	ɑ r x iː t ɛ k t 
ARKITEKTER	ɑ r x iː t ɛ k t ə r 
ARKITEKTFIRMA	ɑ r x iː t ɛ k t f ɪ r m ɑ 
ARKITEKTKONKURRANSE	ɑ r x iː t ɛ k t k ɔ ŋ k ʉ r r ɑ n s a 
ARKITEKTONISKE	ɑ r x iː t ɛ k t uː n ɪ s k a 
ARKITEKTUR	ɑ r x iː t ɛ k t ʉː r 
ARKIVET	ɑ r x iː v ə t 
ARKTISK	ɑ r k t ɪ s k 
ARM	ɑ r m 
ARMEN	ɑ r m ə n 
ARMENE	ɑ r m ɛ n a 
ARMER	ɑ r m ə r 
ARMSLAG	ɑ r m ʃ l a ɡ 
ARNA	ɑ r n ɑ 
ARNE	ɑ r n a 
ARNESEN	ɑ r n eː s ə n 
ARNFINN	ɑ r n f ɪ n 
ARNOLD	ɑ r n ɔ l l 
ARNSTEIN	ɑ r n s t aɪ n 
ARNTZEN	ɑ r n t s ə n 
ARNULF	ɑ r n ʉ l f 
ARRANGEMENT	ɑ r r ɑ ŋ eː m ɛ n t 
ARRANGEMENTER	ɑ r r ɑ ŋ eː m ɛ n t ə r 
ARRANGEMENTET	ɑ r r ɑ ŋ eː m ɛ n t ə t 
ARRANGEMENTSTEKNISKE	ɑ r r ɑ ŋ eː m ə n t s t ɛ k n ɪ s k a 
ARRANGERES	ɑ r r ɑ ŋ eː r ə s 
ARRANGERT	ɑ r r ɑ ŋ a r t 
ARRANGERTE	ɑ r r ɑ ŋ a r t a 
ARRANGØREN	ɑ r r ɑ ŋ øː r ə n 
ARRESTERT	ɑ r r ə s t a r t 
ARRESTORDRE	ɑ r r ə s t ɔ r d r a 
ART	ɑ r t 
ARTEN	ɑ r t ə n 
ARTENE	ɑ r t ɛ n a 
ARTER	ɑ r t ə r 
ARTERIELL	ɑ r t eː r iː ɛ l 
ARTHUR	ɑ r t h ʉː r 
ARTIKKEL	ɑ r t ɪ kː ə l 
ARTIKKELEN	ɑ r t ɪ kː eː l ə n 
ARTIKKELFORFATTEREN	ɑ r t ɪ kː ɛ l f ɔ r f ɑ tː eː r ə n 
ARTIKLER	ɑ r t ɪ k l ə r 
ARTIST	ɑ r t ɪ s t 
ARTISTER	ɑ r t ɪ s t ə r 
ARTIUM	ɑ r t iː ʉː m 
ARTSBEGREP	ɑ r t s b ɛ ɡ r ə p 
ARTSOMTALENE	ɑ r t s ɔ m t a l ɛ n a 
ARV	ɑ r v 
ARVELOVEN	ɑ r v eː l uː v ə n 
ARVELØS	ɑ r v eː l øː s 
ARVESTOFFET	ɑ r v ə s t ɔ f f ə t 
ARVID	ɑ r v iː d 
ARVINGENE	ɑ r v ɪ ŋ ɛ n a 
ASFALT	ɑ s f ɑ l t 
ASFALTEN	ɑ s f ɑ l t ə n 
ASFALTSTØV	ɑ s f ɑ l t s t øː v 
ASGEIR	ɑ s j aɪ r 
ASK	ɑ s k 
ASKEBEGER	ɑ s k eː b eː ɡ ə r 
ASKEBEGRE	ɑ s k eː b ɛ ɡ r a 
ASKELAND	ɑ s k eː l ɑ n n 
ASKEN	ɑ s k ə n 
ASKER	ɑ s k ə r 
ASLAKSEN	ɑ s l ɑ k s ə n 
ASLAUG	ɑ s l aʊ ɡ 
ASPEKT	ɑ s p ɛ k t 
ASPEKTER	ɑ s p ɛ k t ə r 
ASSISTENT	ɑ s s ɪ s t ɛ n t 
ASSISTENTLEGE	ɑ s s ɪ s t ɛ n t l eː ɡ a 
ASSISTERENDE	ɑ s s ɪ s t eː r ɛ n n a 
ASSOSIASJONER	ɑ s s uː s iː ɑ ʃ uː n ə r 
ASTMA	ɑ s t m ɑ 
ASTMATIKERE	ɑ s t m a t iː k eː r a 
ASTRI	ɑ s t r iː 
ASTRONOMI	ɑ s t r uː n uː m iː 
ASYL	a s yː l 
ASYLENE	a s yː l ɛ n a 
ASYLSØKER	a s y l s øː k ə r 
ASYLSØKERNE	a s y l s øː k a r n a 
AT	a t 
ATELIERET	a t eː l iː eː r ə t 
ATLETEN	ɑ t l eː t ə n 
ATMOSFÆRE	ɑ t m ɔ s f aː r a 
ATMOSFÆREN	ɑ t m ɔ s f aː r ə n 
ATOMBOMBEN	a t ɔ m b ɔ m b ə n 
ATOMET	a t uː m ə t 
ATOMUBÅTENE	a t uː m ʉː b oː t ɛ n a 
ATSKILLET	ɑ t ʃ ɪ l l ə t 
ATSKILT	ɑ t ʃ ɪ l t 
ATTEN	ɑ tː ə n 
ATTESTEN	ɑ tː ɛ s t ə n 
ATTESTER	ɑ tː ɛ s t ə r 
ATTFØRINGSPENGER	ɑ tː f øː r ɪ ŋ s p ɛ ŋ ə r 
ATTPÅTIL	ɑ tː p oː t iː l 
ATTRAKTIV	ɑ tː r ɑ k t iː v 
ATTRAKTIVE	ɑ tː r ɑ k t iː v a 
ATTRAKTIVT	ɑ tː r ɑ k t ɪ v t 
AUDIOGRAFENES	aʊ d iː ɔ ɡ r a f eː n ə s 
AUDIOGRAFER	aʊ d iː ɔ ɡ r a f ə r 
AUDNEDAL	aʊ d n eː d a l 
AUDUN	aʊ d ʉː n 
AUGUST	aʊ ɡ ʉ s t 
AUKRA	aʊ k r ɑ 
AUKSJONEN	aʊ k ʃ uː n ə n 
AUKSJONSFORMER	aʊ k ʃ ɔ n s f ɔ r m ə r 
AUSTAD	aʊ s t a d 
AUSTRALSK	aʊ s t r ɑ l s k 
AUTOMATISK	aʊ t uː m a t ɪ s k 
AUTOMATVÅPEN	aʊ t uː m ɑ t v oː p ə n 
AUTONOMISERING	aʊ t uː n uː m iː s eː r ɪ ŋ 
AUTORISASJON	aʊ t uː r iː s ɑ ʃ uː n 
